2797	0	86519
3219	0	86519
11197	0	86519
13063	0	86519
24497	0	86519
43054	0	86519
1325	0	81114
10879	0	81114
14719	0	81114
25347	0	81114
25659	0	81114
62457	0	81114
977	0	79252
3919	0	79252
6395	0	79252
9188	0	79252
12402	0	79252
19296	0	79252
21044	0	79252
1612	0	94748
2114	0	94748
4456	0	94748
9063	0	94748
20307	0	94748
23710	0	94748
26547	0	94748
26686	0	94748
27299	0	94748
30861	0	94748
31297	0	94748
32176	0	94748
32242	0	94748
33263	0	94748
33815	0	94748
36554	0	94748
36930	0	94748
37244	0	94748
38936	0	94748
39378	0	94748
40023	0	94748
40212	0	94748
40347	0	94748
41071	0	94748
41213	0	94748
41740	0	94748
42443	0	94748
42449	0	94748
45084	0	94748
45154	0	94748
45390	0	94748
45925	0	94748
45935	0	94748
53747	0	94748
55030	0	94748
56043	0	94748
58448	0	94748
63421	0	94748
64207	0	94748
64333	0	94748
65959	0	94748
66473	0	94748
67296	0	94748
67331	0	94748
67668	0	94748
68057	0	94748
70374	0	94748
1316	0	81083
1730	0	81083
2238	0	81083
3011	0	81083
3559	0	81083
5930	0	81083
8944	0	81083
9146	0	81083
10529	0	81083
12422	0	81083
14088	0	81083
15069	0	81083
15495	0	81083
15564	0	81083
15867	0	81083
20092	0	81083
20327	0	81083
20690	0	81083
21864	0	81083
22975	0	81083
26174	0	81083
29134	0	81083
33494	0	81083
33632	0	81083
1095	0	80079
2156	0	80079
2327	0	80079
6462	0	80079
7132	0	80079
10305	0	80079
11663	0	80079
16889	0	80079
17452	0	80079
21033	0	80079
23171	0	80079
24419	0	80079
36749	0	80079
40521	0	80079
40591	0	80079
42877	0	80079
58200	0	80079
1849	0	83813
3793	0	83813
4062	0	83813
11769	0	83813
12015	0	83813
14113	0	83813
15926	0	83813
18465	0	83813
19323	0	83813
19344	0	83813
22223	0	83813
22787	0	83813
25272	0	83813
25914	0	83813
27456	0	83813
28976	0	83813
31452	0	83813
32503	0	83813
36872	0	83813
40057	0	83813
59186	0	83813
61532	0	83813
65443	0	83813
68628	0	83813
1581	0	84677
2056	0	84677
2607	0	84677
3395	0	84677
7479	0	84677
8885	0	84677
9823	0	84677
10763	0	84677
15496	0	84677
16397	0	84677
17305	0	84677
17390	0	84677
17838	0	84677
17913	0	84677
19523	0	84677
21362	0	84677
21601	0	84677
21625	0	84677
22062	0	84677
22216	0	84677
22280	0	84677
22767	0	84677
23028	0	84677
24651	0	84677
24807	0	84677
25806	0	84677
26724	0	84677
26874	0	84677
27668	0	84677
28252	0	84677
28404	0	84677
29362	0	84677
30333	0	84677
30509	0	84677
